concept id	representation id	en	kanji	kana
FMA38523	BP8191	left extensor pollicis longus	left extensor pollicis longus	left extensor pollicis longus
FMA38524	BP8780	extensor indicis	示指伸筋	しじしんきん
FMA38525	BP4812	right extensor indicis	right extensor indicis	right extensor indicis
FMA38526	BP8779	left extensor indicis	left extensor indicis	left extensor indicis
FMA38558	BP8016	humeral head of pronator teres	円回内筋の上腕頭	えんかいないきんのじょうわんとう
FMA38559	BP9044	ulnar head of pronator teres	円回内筋の尺骨頭	えんかいないきんのしゃくこつとう
FMA38560	BP5568	humeral head of right pronator teres	humeral head of right pronator teres	humeral head of right pronator teres
FMA38561	BP8015	humeral head of left pronator teres	humeral head of left pronator teres	humeral head of left pronator teres
FMA38562	BP5552	ulnar head of right pronator teres	ulnar head of right pronator teres	ulnar head of right pronator teres
FMA38563	BP9043	ulnar head of left pronator teres	ulnar head of left pronator teres	ulnar head of left pronator teres
FMA38615	BP8145	humeral head of flexor carpi ulnaris	尺側手根屈筋の上腕頭	しゃくそくしゅこんくっきんのじょうわんとう
FMA38616	BP8541	ulnar head of flexor carpi ulnaris	尺側手根屈筋の尺骨頭	しゃくそくしゅこんくっきんのしゃくこつとう
FMA38617	BP5570	humeral head of right flexor carpi ulnaris	humeral head of right flexor carpi ulnaris	humeral head of right flexor carpi ulnaris
FMA38618	BP8144	humeral head of left flexor carpi ulnaris	humeral head of left flexor carpi ulnaris	humeral head of left flexor carpi ulnaris
FMA38619	BP5554	ulnar head of right flexor carpi ulnaris	ulnar head of right flexor carpi ulnaris	ulnar head of right flexor carpi ulnaris
FMA38620	BP8540	ulnar head of left flexor carpi ulnaris	ulnar head of left flexor carpi ulnaris	ulnar head of left flexor carpi ulnaris
FMA38928	BP5598	right rectus femoris	right rectus femoris	right rectus femoris
FMA38929	BP8094	left rectus femoris	left rectus femoris	left rectus femoris
FMA38930	BP5602	right vastus lateralis	right vastus lateralis	right vastus lateralis
FMA38931	BP8754	left vastus lateralis	left vastus lateralis	left vastus lateralis
FMA38932	BP5600	right vastus medialis	right vastus medialis	right vastus medialis
FMA38933	BP9128	left vastus medialis	left vastus medialis	left vastus medialis
FMA38934	BP5604	right vastus intermedius	right vastus intermedius	right vastus intermedius
FMA38935	BP9207	left vastus intermedius	left vastus intermedius	left vastus intermedius
FMA39988	BP8059	flexor retinaculum of wrist	屈筋支帯［手の］	くっきんしたい［ての］
FMA40120	BP6527	flexor retinaculum of right wrist	flexor retinaculum of right wrist	flexor retinaculum of right wrist
FMA40121	BP8058	flexor retinaculum of left wrist	flexor retinaculum of left wrist	flexor retinaculum of left wrist
FMA42380	BP8207	intrinsic muscle of hand	intrinsic muscle of hand	intrinsic muscle of hand
FMA42398	BP6633	set of lumbricals of right hand	set of lumbricals of right hand	set of lumbricals of right hand
FMA42399	BP8053	set of lumbricals of left hand	set of lumbricals of left hand	set of lumbricals of left hand
FMA42402	BP6631	set of palmar interossei of right hand	set of palmar interossei of right hand	set of palmar interossei of right hand
FMA42403	BP8246	set of palmar interossei of left hand	set of palmar interossei of left hand	set of palmar interossei of left hand
FMA42404	BP6629	set of dorsal interossei of right hand	set of dorsal interossei of right hand	set of dorsal interossei of right hand
FMA42405	BP8036	set of dorsal interossei of left hand	set of dorsal interossei of left hand	set of dorsal interossei of left hand
FMA42603	BP6538	organ component cluster	organ component cluster	organ component cluster
FMA43252	BP8654	proximal phalanx of big toe	proximal phalanx of big toe	proximal phalanx of big toe
FMA43253	BP8785	proximal phalanx of right big toe	proximal phalanx of right big toe	proximal phalanx of right big toe
FMA43254	BP8653	proximal phalanx of left big toe	proximal phalanx of left big toe	proximal phalanx of left big toe
FMA43882	BP8927	gracilis	薄筋	はくきん
FMA43883	BP4976	right gracilis	right gracilis	right gracilis
FMA43884	BP8926	left gracilis	left gracilis	left gracilis
FMA43885	BP8833	adductor minimus	小内転筋	しょうないてんきん
FMA43886	BP4980	right adductor minimus	right adductor minimus	right adductor minimus
FMA43887	BP8832	left adductor minimus	left adductor minimus	left adductor minimus
FMA43888	BP6147	inferior lateral genicular artery	外側下膝動脈	がいそくかしつどうみゃく
FMA43889	BP6144	inferior medial genicular artery	内側下膝動脈	ないそくかしつどうみゃく
FMA43890	BP6145	right inferior medial genicular artery	right inferior medial genicular artery	right inferior medial genicular artery
FMA43891	BP6146	left inferior medial genicular artery	left inferior medial genicular artery	left inferior medial genicular artery
FMA43892	BP6148	right inferior lateral genicular artery	right inferior lateral genicular artery	right inferior lateral genicular artery
FMA43893	BP6149	left inferior lateral genicular artery	left inferior lateral genicular artery	left inferior lateral genicular artery
FMA43894	BP6071	anterior tibial artery	前脛骨動脈	ぜんけいこつどうみゃく
FMA43895	BP6074	posterior tibial artery	後脛骨動脈	こうけいこつどうみゃく
FMA43896	BP6072	right anterior tibial artery	right anterior tibial artery	right anterior tibial artery
FMA43897	BP6073	left anterior tibial artery	left anterior tibial artery	left anterior tibial artery
FMA43898	BP6075	right posterior tibial artery	right posterior tibial artery	right posterior tibial artery
FMA43899	BP6076	left posterior tibial artery	left posterior tibial artery	left posterior tibial artery
FMA43901	BP6059	subdivision of posterior tibial artery	subdivision of posterior tibial artery	subdivision of posterior tibial artery
FMA43902	BP6056	anterior tibial recurrent artery	前脛骨反回動脈	ぜんけこつはんかいどうみゃく
FMA43907	BP6057	right anterior tibial recurrent artery	right anterior tibial recurrent artery	right anterior tibial recurrent artery
FMA43908	BP6058	left anterior tibial recurrent artery	left anterior tibial recurrent artery	left anterior tibial recurrent artery
FMA43915	BP6026	dorsalis pedis artery	足背動脈	そくはいどうみゃく
FMA43916	BP6027	right dorsalis pedis artery	right dorsalis pedis artery	right dorsalis pedis artery
FMA43917	BP6028	left dorsalis pedis artery	left dorsalis pedis artery	left dorsalis pedis artery
FMA43925	BP6061	medial plantar artery	内側足底動脈	ないそくそくていどうみゃく
FMA43926	BP6064	lateral plantar artery	外側足底動脈	がいそくそくていどうみゃく
FMA43929	BP6062	right medial plantar artery	right medial plantar artery	right medial plantar artery
FMA43930	BP6063	left medial plantar artery	left medial plantar artery	left medial plantar artery
FMA43931	BP6065	right lateral plantar artery	right lateral plantar artery	right lateral plantar artery
FMA43932	BP6066	left lateral plantar artery	left lateral plantar artery	left lateral plantar artery
FMA43933	BP6435	superficial medial plantar artery	内側足底動脈の浅枝	ないそくそくていどうみゃくのせんし
FMA43937	BP6436	right superficial medial plantar artery	right superficial medial plantar artery	right superficial medial plantar artery
FMA43938	BP6437	left superficial medial plantar artery	left superficial medial plantar artery	left superficial medial plantar artery
FMA43940	BP6438	branch of lateral plantar artery	branch of lateral plantar artery	branch of lateral plantar artery
FMA43941	BP6434	branch of medial plantar artery	branch of medial plantar artery	branch of medial plantar artery
FMA43942	BP6010	plantar arch	深足底動脈弓;足底動脈弓	しんそくていどうみゃくきゅう;そくていどうみゃくきゅう
FMA43943	BP6014	right plantar arch	right plantar arch	right plantar arch
FMA43944	BP6015	left plantar arch	left plantar arch	left plantar arch
FMA43956	BP6060	plantar metatarsal artery	plantar metatarsal artery	plantar metatarsal artery
FMA44197	BP9276	tarsal ligament	tarsal ligament	tarsal ligament
FMA44245	BP9275	plantar tarsal ligament	plantar tarsal ligament	plantar tarsal ligament
